Name,ReferenceDate,DailyReturn
S&P 500 Total Return Index,7/9/90,0.3139
S&P 500 Total Return Index,7/10/90,-0.8396
S&P 500 Total Return Index,7/11/90,1.3291
S&P 500 Total Return Index,7/12/90,1.1648
S&P 500 Total Return Index,7/13/90,0.5131
S&P 500 Total Return Index,7/16/90,0.4682
S&P 500 Total Return Index,7/17/90,-0.3867
S&P 500 Total Return Index,7/18/90,-0.8933
S&P 500 Total Return Index,7/19/90,0.3038
S&P 500 Total Return Index,7/20/90,-1.0162
S&P 500 Total Return Index,7/23/90,-1.7322
S&P 500 Total Return Index,7/24/90,0.1364
S&P 500 Total Return Index,7/25/90,0.3726
S&P 500 Total Return Index,7/26/90,-0.3226
S&P 500 Total Return Index,7/27/90,-0.6755
S&P 500 Total Return Index,7/30/90,0.6206
S&P 500 Total Return Index,7/31/90,0.203
S&P 500 Total Return Index,8/1/90,-0.1718
S&P 500 Total Return Index,8/2/90,-1.1202
S&P 500 Total Return Index,8/3/90,-1.8682
S&P 500 Total Return Index,8/6/90,-2.9576
S&P 500 Total Return Index,8/7/90,0.1664
S&P 500 Total Return Index,8/8/90,1.0542
S&P 500 Total Return Index,8/9/90,0.4933
S&P 500 Total Return Index,8/10/90,-1.2714
S&P 500 Total Return Index,8/13/90,1.0215
S&P 500 Total Return Index,8/14/90,0.1775
S&P 500 Total Return Index,8/15/90,0.204
S&P 500 Total Return Index,8/16/90,-2.2371
S&P 500 Total Return Index,8/17/90,-1.3702
S&P 500 Total Return Index,8/20/90,0.2278
S&P 500 Total Return Index,8/21/90,-2.0126
S&P 500 Total Return Index,8/22/90,-1.6466
S&P 500 Total Return Index,8/23/90,-2.9974
S&P 500 Total Return Index,8/24/90,1.4501
S&P 500 Total Return Index,8/27/90,3.227
S&P 500 Total Return Index,8/28/90,0.0057
S&P 500 Total Return Index,8/29/90,0.8948
S&P 500 Total Return Index,8/30/90,-1.6894
S&P 500 Total Return Index,8/31/90,1.2389
S&P 500 Total Return Index,9/4/90,0.1889
S&P 500 Total Return Index,9/5/90,0.4025
S&P 500 Total Return Index,9/6/90,-1.2053
S&P 500 Total Return Index,9/7/90,0.9193
S&P 500 Total Return Index,9/10/90,-0.5004
S&P 500 Total Return Index,9/11/90,-0.1667
S&P 500 Total Return Index,9/12/90,0.467
S&P 500 Total Return Index,9/13/90,-1.2057
S&P 500 Total Return Index,9/14/90,-0.5675
S&P 500 Total Return Index,9/17/90,0.304
S&P 500 Total Return Index,9/18/90,0.3174
S&P 500 Total Return Index,9/19/90,-0.627
S&P 500 Total Return Index,9/20/90,-1.5975
S&P 500 Total Return Index,9/21/90,-0.0495
S&P 500 Total Return Index,9/24/90,-2.1171
S&P 500 Total Return Index,9/25/90,1.2155
S&P 500 Total Return Index,9/26/90,-1.0361
S&P 500 Total Return Index,9/27/90,-1.3205
S&P 500 Total Return Index,9/28/90,1.6878
S&P 500 Total Return Index,10/1/90,2.9373
S&P 500 Total Return Index,10/2/90,0.0864
S&P 500 Total Return Index,10/3/90,-1.145
S&P 500 Total Return Index,10/4/90,0.4162
S&P 500 Total Return Index,10/5/90,-0.3768
S&P 500 Total Return Index,10/8/90,0.6342
S&P 500 Total Return Index,10/9/90,-2.6653
S&P 500 Total Return Index,10/10/90,-1.5414
S&P 500 Total Return Index,10/11/90,-1.6409
S&P 500 Total Return Index,10/12/90,1.5456
S&P 500 Total Return Index,10/15/90,1.0902
S&P 500 Total Return Index,10/16/90,-1.4191
S&P 500 Total Return Index,10/17/90,-0.0485
S&P 500 Total Return Index,10/18/90,2.3376
S&P 500 Total Return Index,10/19/90,2.2072
S&P 500 Total Return Index,10/22/90,0.7421
S&P 500 Total Return Index,10/23/90,-0.7625
S&P 500 Total Return Index,10/24/90,0.0812
S&P 500 Total Return Index,10/25/90,-0.7706
S&P 500 Total Return Index,10/26/90,-1.7343
S&P 500 Total Return Index,10/29/90,-0.9092
S&P 500 Total Return Index,10/30/90,0.7496
S&P 500 Total Return Index,10/31/90,-0.0179
S&P 500 Total Return Index,11/1/90,1.0121
S&P 500 Total Return Index,11/2/90,1.5854
