Name,ReferenceDate,DailyReturn
S&P 500 Total Return Index,4/15/94,-0.0456
S&P 500 Total Return Index,4/18/94,-0.8236
S&P 500 Total Return Index,4/19/94,0.0221
S&P 500 Total Return Index,4/20/94,-0.1307
S&P 500 Total Return Index,4/21/94,1.5337
S&P 500 Total Return Index,4/22/94,-0.2469
S&P 500 Total Return Index,4/25/94,1.1502
S&P 500 Total Return Index,4/26/94,-0.1691
S&P 500 Total Return Index,4/28/94,-0.611
S&P 500 Total Return Index,4/29/94,0.4026
S&P 500 Total Return Index,5/2/94,0.5021
S&P 500 Total Return Index,5/3/94,0.018
S&P 500 Total Return Index,5/4/94,-0.2767
S&P 500 Total Return Index,5/5/94,-0.0396
S&P 500 Total Return Index,5/6/94,-0.7787
S&P 500 Total Return Index,5/9/94,-1.1481
S&P 500 Total Return Index,5/10/94,0.8417
S&P 500 Total Return Index,5/11/94,-1.006
S&P 500 Total Return Index,5/12/94,0.5173
S&P 500 Total Return Index,5/13/94,0.0897
S&P 500 Total Return Index,5/16/94,0.1098
S&P 500 Total Return Index,5/17/94,1.1168
S&P 500 Total Return Index,5/18/94,0.9671
S&P 500 Total Return Index,5/19/94,0.6195
S&P 500 Total Return Index,5/20/94,-0.2971
S&P 500 Total Return Index,5/23/94,-0.3658
S&P 500 Total Return Index,5/24/94,0.3744
S&P 500 Total Return Index,5/25/94,0.364
S&P 500 Total Return Index,5/26/94,0.1582
S&P 500 Total Return Index,5/27/94,0.0781
S&P 500 Total Return Index,5/31/94,-0.1792
S&P 500 Total Return Index,6/1/94,0.2559
S&P 500 Total Return Index,6/2/94,0.0266
S&P 500 Total Return Index,6/3/94,0.5475
S&P 500 Total Return Index,6/6/94,-0.2503
S&P 500 Total Return Index,6/7/94,-0.1413
S&P 500 Total Return Index,6/8/94,-0.2495
S&P 500 Total Return Index,6/9/94,0.2217
S&P 500 Total Return Index,6/10/94,0.1787
S&P 500 Total Return Index,6/13/94,0.0972
S&P 500 Total Return Index,6/14/94,0.7183
S&P 500 Total Return Index,6/15/94,-0.3767
S&P 500 Total Return Index,6/16/94,0.2937
S&P 500 Total Return Index,6/17/94,-0.7524
S&P 500 Total Return Index,6/20/94,-0.6467
S&P 500 Total Return Index,6/21/94,-0.9088
S&P 500 Total Return Index,6/22/94,0.3877
S&P 500 Total Return Index,6/23/94,-0.7617
S&P 500 Total Return Index,6/24/94,-1.4756
S&P 500 Total Return Index,6/27/94,1.0314
S&P 500 Total Return Index,6/28/94,-0.2516
S&P 500 Total Return Index,6/29/94,0.3593
S&P 500 Total Return Index,6/30/94,-0.7449
S&P 500 Total Return Index,7/1/94,0.4572
S&P 500 Total Return Index,7/5/94,0.0653
S&P 500 Total Return Index,7/6/94,-0.0507
S&P 500 Total Return Index,7/7/94,0.504
S&P 500 Total Return Index,7/8/94,0.2598
S&P 500 Total Return Index,7/11/94,-0.3185
S&P 500 Total Return Index,7/12/94,-0.0235
S&P 500 Total Return Index,7/13/94,0.1733
S&P 500 Total Return Index,7/14/94,1.0544
S&P 500 Total Return Index,7/15/94,0.1641
S&P 500 Total Return Index,7/18/94,0.2439
S&P 500 Total Return Index,7/19/94,-0.2949
S&P 500 Total Return Index,7/20/94,-0.4971
S&P 500 Total Return Index,7/21/94,0.2238
S&P 500 Total Return Index,7/22/94,0.1108
S&P 500 Total Return Index,7/25/94,0.2677
S&P 500 Total Return Index,7/26/94,-0.1833
S&P 500 Total Return Index,7/27/94,-0.1676
S&P 500 Total Return Index,7/28/94,0.3661
S&P 500 Total Return Index,7/29/94,0.8915
S&P 500 Total Return Index,8/1/94,0.6279
S&P 500 Total Return Index,8/2/94,-0.0666
S&P 500 Total Return Index,8/3/94,0.1982
S&P 500 Total Return Index,8/4/94,-0.6337
S&P 500 Total Return Index,8/5/94,-0.2819
S&P 500 Total Return Index,8/8/94,0.1979
S&P 500 Total Return Index,8/9/94,0.0564
S&P 500 Total Return Index,8/10/94,0.5269
S&P 500 Total Return Index,8/11/94,-0.305
S&P 500 Total Return Index,8/12/94,0.6734
S&P 500 Total Return Index,8/15/94,-0.1223
S&P 500 Total Return Index,8/16/94,0.8341
S&P 500 Total Return Index,8/17/94,0.0399
S&P 500 Total Return Index,8/18/94,-0.4264
S&P 500 Total Return Index,8/19/94,0.1132
S&P 500 Total Return Index,8/22/94,-0.2817
S&P 500 Total Return Index,8/23/94,0.4761
S&P 500 Total Return Index,8/24/94,0.9788
S&P 500 Total Return Index,8/25/94,-0.1873
S&P 500 Total Return Index,8/26/94,1.2432
S&P 500 Total Return Index,8/29/94,0.1854
S&P 500 Total Return Index,8/30/94,0.3192
S&P 500 Total Return Index,8/31/94,-0.1185
S&P 500 Total Return Index,9/1/94,-0.471
S&P 500 Total Return Index,9/2/94,-0.4324
S&P 500 Total Return Index,9/6/94,0.1898
S&P 500 Total Return Index,9/7/94,-0.1894
S&P 500 Total Return Index,9/8/94,0.4667
S&P 500 Total Return Index,9/9/94,-1.004
S&P 500 Total Return Index,9/12/94,-0.4143
S&P 500 Total Return Index,9/13/94,0.2831
S&P 500 Total Return Index,9/14/94,0.2754
S&P 500 Total Return Index,9/15/94,1.2891
S&P 500 Total Return Index,9/16/94,-0.7609
S&P 500 Total Return Index,9/19/94,-0.0324
S&P 500 Total Return Index,9/20/94,-1.5869
S&P 500 Total Return Index,9/21/94,-0.4096
S&P 500 Total Return Index,9/22/94,-0.0401
S&P 500 Total Return Index,9/23/94,-0.347
S&P 500 Total Return Index,9/26/94,0.3149
S&P 500 Total Return Index,9/27/94,0.2686
S&P 500 Total Return Index,9/28/94,0.6054
S&P 500 Total Return Index,9/29/94,-0.5447
S&P 500 Total Return Index,9/30/94,0.1026
S&P 500 Total Return Index,10/3/94,-0.1685
S&P 500 Total Return Index,10/4/94,-1.5257
S&P 500 Total Return Index,10/5/94,-0.235
S&P 500 Total Return Index,10/6/94,-0.255
S&P 500 Total Return Index,10/7/94,0.616
S&P 500 Total Return Index,10/10/94,0.8663
S&P 500 Total Return Index,10/11/94,1.4747
S&P 500 Total Return Index,10/12/94,-0.069
S&P 500 Total Return Index,10/13/94,0.4295
S&P 500 Total Return Index,10/14/94,0.3573
S&P 500 Total Return Index,10/17/94,-0.0205
S&P 500 Total Return Index,10/18/94,-0.2739
S&P 500 Total Return Index,10/19/94,0.5613
S&P 500 Total Return Index,10/20/94,-0.7289
S&P 500 Total Return Index,10/21/94,-0.4196
S&P 500 Total Return Index,10/24/94,-0.8651
S&P 500 Total Return Index,10/25/94,0.1637
S&P 500 Total Return Index,10/26/94,0.2469
S&P 500 Total Return Index,10/27/94,0.6991
S&P 500 Total Return Index,10/28/94,1.7055
S&P 500 Total Return Index,10/31/94,-0.2795
S&P 500 Total Return Index,11/1/94,-0.8068
S&P 500 Total Return Index,11/2/94,-0.399
S&P 500 Total Return Index,11/3/94,0.3163
S&P 500 Total Return Index,11/4/94,-1.1551
S&P 500 Total Return Index,11/7/94,0.2011
S&P 500 Total Return Index,11/8/94,0.5814
S&P 500 Total Return Index,11/9/94,-0.0447
S&P 500 Total Return Index,11/10/94,-0.2151
S&P 500 Total Return Index,11/11/94,-0.4347
S&P 500 Total Return Index,11/14/94,0.8229
S&P 500 Total Return Index,11/15/94,-0.2131
S&P 500 Total Return Index,11/16/94,0.1412
S&P 500 Total Return Index,11/17/94,-0.435
S&P 500 Total Return Index,11/18/94,-0.4317
S&P 500 Total Return Index,11/21/94,-0.6817
S&P 500 Total Return Index,11/22/94,-1.7918
S&P 500 Total Return Index,11/23/94,-0.0213
S&P 500 Total Return Index,11/25/94,0.562
S&P 500 Total Return Index,11/28/94,0.4316
S&P 500 Total Return Index,11/29/94,0.2272
S&P 500 Total Return Index,11/30/94,-0.3215
S&P 500 Total Return Index,12/1/94,-1.033
S&P 500 Total Return Index,12/2/94,0.9903
S&P 500 Total Return Index,12/5/94,0.0212
S&P 500 Total Return Index,12/6/94,-0.0423
S&P 500 Total Return Index,12/7/94,-0.411
S&P 500 Total Return Index,12/8/94,-1.2771
S&P 500 Total Return Index,12/9/94,0.3804
S&P 500 Total Return Index,12/12/94,0.5702
S&P 500 Total Return Index,12/13/94,0.16
S&P 500 Total Return Index,12/14/94,1.0718
S&P 500 Total Return Index,12/15/94,0.0895
S&P 500 Total Return Index,12/16/94,0.7613
S&P 500 Total Return Index,12/19/94,-0.1915
S&P 500 Total Return Index,12/20/94,-0.1727
S&P 500 Total Return Index,12/21/94,0.5521
S&P 500 Total Return Index,12/22/94,0.0139
S&P 500 Total Return Index,12/23/94,0.1095
S&P 500 Total Return Index,12/27/94,0.5762
S&P 500 Total Return Index,12/28/94,-0.3486
S&P 500 Total Return Index,12/29/94,0.071
S&P 500 Total Return Index,12/30/94,-0.3841
S&P 500 Total Return Index,1/3/95,-0.0313
S&P 500 Total Return Index,1/4/95,0.3771
S&P 500 Total Return Index,1/5/95,-0.0675
S&P 500 Total Return Index,1/6/95,0.0728
S&P 500 Total Return Index,1/9/95,0.045
S&P 500 Total Return Index,1/10/95,0.1851
S&P 500 Total Return Index,1/11/95,-0.0035
S&P 500 Total Return Index,1/12/95,-0.0052
S&P 500 Total Return Index,1/13/95,0.9568
S&P 500 Total Return Index,1/16/95,0.7322
S&P 500 Total Return Index,1/17/95,0.1461
S&P 500 Total Return Index,1/18/95,-0.0695
S&P 500 Total Return Index,1/19/95,-0.5889
S&P 500 Total Return Index,1/20/95,-0.4643
S&P 500 Total Return Index,1/23/95,0.2281
S&P 500 Total Return Index,1/24/95,0.0188
S&P 500 Total Return Index,1/25/95,0.3541
S&P 500 Total Return Index,1/26/95,0.1926
S&P 500 Total Return Index,1/27/95,0.4424
S&P 500 Total Return Index,1/30/95,-0.3795
S&P 500 Total Return Index,1/31/95,0.4353
S&P 500 Total Return Index,2/1/95,0.0017
S&P 500 Total Return Index,2/2/95,0.5215
S&P 500 Total Return Index,2/3/95,1.2464
S&P 500 Total Return Index,2/6/95,0.5706
S&P 500 Total Return Index,2/7/95,-0.0579
S&P 500 Total Return Index,2/8/95,0.0877
S&P 500 Total Return Index,2/9/95,-0.1852
S&P 500 Total Return Index,2/10/95,0.2833
S&P 500 Total Return Index,2/13/95,0.0628
S&P 500 Total Return Index,2/14/95,0.2064
S&P 500 Total Return Index,2/15/95,0.4218
S&P 500 Total Return Index,2/16/95,0.1411
S&P 500 Total Return Index,2/17/95,-0.6504
S&P 500 Total Return Index,2/21/95,0.1649
S&P 500 Total Return Index,2/22/95,0.4955
S&P 500 Total Return Index,2/23/95,0.4014
S&P 500 Total Return Index,2/24/95,0.2496
S&P 500 Total Return Index,2/27/95,-0.8594
S&P 500 Total Return Index,2/28/95,0.7437
S&P 500 Total Return Index,3/1/95,-0.3275
S&P 500 Total Return Index,3/2/95,-0.103
S&P 500 Total Return Index,3/3/95,0.0802
S&P 500 Total Return Index,3/6/95,0.0605
S&P 500 Total Return Index,3/7/95,-0.7175
S&P 500 Total Return Index,3/8/95,0.2124
S&P 500 Total Return Index,3/9/95,0.0559
S&P 500 Total Return Index,3/10/95,1.3282
S&P 500 Total Return Index,3/13/95,0.1053
S&P 500 Total Return Index,3/14/95,0.5827
S&P 500 Total Return Index,3/15/95,-0.1995
S&P 500 Total Return Index,3/16/95,0.7256
S&P 500 Total Return Index,3/17/95,0.0224
S&P 500 Total Return Index,3/20/95,0.128
S&P 500 Total Return Index,3/21/95,-0.2158
S&P 500 Total Return Index,3/22/95,0.1217
S&P 500 Total Return Index,3/23/95,0.056
S&P 500 Total Return Index,3/24/95,1.0121
S&P 500 Total Return Index,3/27/95,0.4891
S&P 500 Total Return Index,3/28/95,0.1402
S&P 500 Total Return Index,3/29/95,-0.1542
S&P 500 Total Return Index,3/30/95,-0.1717
S&P 500 Total Return Index,3/31/95,-0.2983
S&P 500 Total Return Index,4/3/95,0.2469
S&P 500 Total Return Index,4/4/95,0.7026
S&P 500 Total Return Index,4/5/95,0.0847
S&P 500 Total Return Index,4/6/95,0.1003
S&P 500 Total Return Index,4/7/95,0.0767
S&P 500 Total Return Index,4/10/95,0.1204
S&P 500 Total Return Index,4/11/95,-0.2921
S&P 500 Total Return Index,4/12/95,0.3321
S&P 500 Total Return Index,4/13/95,0.4075
S&P 500 Total Return Index,4/17/95,-0.5987
S&P 500 Total Return Index,4/18/95,-0.1471
S&P 500 Total Return Index,4/19/95,-0.0862
S&P 500 Total Return Index,4/20/95,0.0721
S&P 500 Total Return Index,4/21/95,0.6346
S&P 500 Total Return Index,4/24/95,0.886
S&P 500 Total Return Index,4/25/95,-0.142
S&P 500 Total Return Index,4/26/95,0.1175
S&P 500 Total Return Index,4/27/95,0.1729
S&P 500 Total Return Index,4/28/95,0.2265
S&P 500 Total Return Index,5/1/95,-0.063
S&P 500 Total Return Index,5/2/95,0.1323
S&P 500 Total Return Index,5/3/95,1.0956
S&P 500 Total Return Index,5/4/95,0.0426
S&P 500 Total Return Index,5/5/95,-0.0729
S&P 500 Total Return Index,5/8/95,0.7723
S&P 500 Total Return Index,5/9/95,-0.0362
S&P 500 Total Return Index,5/10/95,0.1615
S&P 500 Total Return Index,5/11/95,0.0166
S&P 500 Total Return Index,5/12/95,0.2275
S&P 500 Total Return Index,5/15/95,0.4449
S&P 500 Total Return Index,5/16/95,0.0988
S&P 500 Total Return Index,5/17/95,-0.2108
S&P 500 Total Return Index,5/18/95,-1.4143
S&P 500 Total Return Index,5/19/95,-0.0289
S&P 500 Total Return Index,5/22/95,0.8695
S&P 500 Total Return Index,5/23/95,0.9464
S&P 500 Total Return Index,5/24/95,0.0149
S&P 500 Total Return Index,5/25/95,0.0224
S&P 500 Total Return Index,5/26/95,-0.9178
S&P 500 Total Return Index,5/30/95,-0.009
S&P 500 Total Return Index,5/31/95,1.8783
S&P 500 Total Return Index,6/1/95,0.0251
S&P 500 Total Return Index,6/2/95,-0.167
S&P 500 Total Return Index,6/5/95,0.5804
S&P 500 Total Return Index,6/6/95,0.0059
S&P 500 Total Return Index,6/7/95,-0.4519
S&P 500 Total Return Index,6/8/95,-0.1331
S&P 500 Total Return Index,6/9/95,-0.8277
S&P 500 Total Return Index,6/12/95,0.5614
S&P 500 Total Return Index,6/13/95,1.017
S&P 500 Total Return Index,6/14/95,0.0852
S&P 500 Total Return Index,6/15/95,0.1219
S&P 500 Total Return Index,6/16/95,0.5045
S&P 500 Total Return Index,6/19/95,1.004
S&P 500 Total Return Index,6/20/95,-0.0419
S&P 500 Total Return Index,6/21/95,-0.1821
S&P 500 Total Return Index,6/22/95,1.309
S&P 500 Total Return Index,6/23/95,-0.2444
S&P 500 Total Return Index,6/26/95,-1.0144
S&P 500 Total Return Index,6/27/95,-0.3127
S&P 500 Total Return Index,6/28/95,0.4661
S&P 500 Total Return Index,6/29/95,-0.1575
S&P 500 Total Return Index,6/30/95,0.1838
S&P 500 Total Return Index,7/3/95,0.4349
S&P 500 Total Return Index,7/5/95,0.0475
S&P 500 Total Return Index,7/6/95,1.2554
S&P 500 Total Return Index,7/7/95,0.4459
S&P 500 Total Return Index,7/10/95,0.1485
S&P 500 Total Return Index,7/11/95,-0.4306
S&P 500 Total Return Index,7/12/95,1.1088
S&P 500 Total Return Index,7/13/95,0.0224
S&P 500 Total Return Index,7/14/95,-0.1977
S&P 500 Total Return Index,7/17/95,0.5057
S&P 500 Total Return Index,7/18/95,-0.7478
S&P 500 Total Return Index,7/19/95,-1.3294
S&P 500 Total Return Index,7/20/95,0.4667
S&P 500 Total Return Index,7/21/95,0.0156
S&P 500 Total Return Index,7/24/95,0.544
S&P 500 Total Return Index,7/25/95,0.8038
S&P 500 Total Return Index,7/26/95,0.0967
S&P 500 Total Return Index,7/27/95,0.658
S&P 500 Total Return Index,7/28/95,-0.4006
S&P 500 Total Return Index,7/31/95,-0.1466
S&P 500 Total Return Index,8/1/95,-0.4294
S&P 500 Total Return Index,8/2/95,-0.1292
S&P 500 Total Return Index,8/3/95,0.0183
S&P 500 Total Return Index,8/4/95,0.0408
S&P 500 Total Return Index,8/7/95,0.2052
S&P 500 Total Return Index,8/8/95,0.0743
S&P 500 Total Return Index,8/9/95,-0.1065
S&P 500 Total Return Index,8/10/95,-0.3774
S&P 500 Total Return Index,8/11/95,-0.4014
S&P 500 Total Return Index,8/14/95,0.8428
S&P 500 Total Return Index,8/15/95,-0.1949
S&P 500 Total Return Index,8/16/95,0.2754
S&P 500 Total Return Index,8/17/95,-0.1611
S&P 500 Total Return Index,8/18/95,0.0421
S&P 500 Total Return Index,8/21/95,-0.1936
S&P 500 Total Return Index,8/22/95,0.2572
S&P 500 Total Return Index,8/23/95,-0.4108
S&P 500 Total Return Index,8/24/95,0.0605
S&P 500 Total Return Index,8/25/95,0.4755
S&P 500 Total Return Index,8/28/95,-0.1862
S&P 500 Total Return Index,8/29/95,0.1838
S&P 500 Total Return Index,8/30/95,0.1974
S&P 500 Total Return Index,8/31/95,0.1789
S&P 500 Total Return Index,9/1/95,0.3516
S&P 500 Total Return Index,9/5/95,0.962
S&P 500 Total Return Index,9/6/95,0.1955
S&P 500 Total Return Index,9/7/95,0.0275
S&P 500 Total Return Index,9/8/95,0.4204
S&P 500 Total Return Index,9/11/95,0.2189
S&P 500 Total Return Index,9/12/95,0.4546
S&P 500 Total Return Index,9/13/95,0.4403
S&P 500 Total Return Index,9/14/95,0.8388
S&P 500 Total Return Index,9/15/95,-0.0443
S&P 500 Total Return Index,9/18/95,-0.0644
S&P 500 Total Return Index,9/19/95,0.2471
S&P 500 Total Return Index,9/20/95,0.4448
S&P 500 Total Return Index,9/21/95,-0.6376
S&P 500 Total Return Index,9/22/95,-0.2175
S&P 500 Total Return Index,9/25/95,0.0135
S&P 500 Total Return Index,9/26/95,-0.0686
S&P 500 Total Return Index,9/27/95,-0.0148
S&P 500 Total Return Index,9/28/95,0.8334
S&P 500 Total Return Index,9/29/95,-0.2484
S&P 500 Total Return Index,10/2/95,-0.4578
S&P 500 Total Return Index,10/3/95,0.1103
S&P 500 Total Return Index,10/4/95,-0.133
S&P 500 Total Return Index,10/5/95,0.234
S&P 500 Total Return Index,10/6/95,-0.0148
S&P 500 Total Return Index,10/9/95,-0.7073
S&P 500 Total Return Index,10/10/95,-0.1473
S&P 500 Total Return Index,10/11/95,0.3506
S&P 500 Total Return Index,10/12/95,0.6313
S&P 500 Total Return Index,10/13/95,0.2399
S&P 500 Total Return Index,10/16/95,-0.2514
S&P 500 Total Return Index,10/17/95,0.6435
S&P 500 Total Return Index,10/18/95,0.1305
S&P 500 Total Return Index,10/19/95,0.5481
S&P 500 Total Return Index,10/20/95,-0.5385
S&P 500 Total Return Index,10/23/95,-0.407
S&P 500 Total Return Index,10/24/95,0.2524
S&P 500 Total Return Index,10/25/95,-0.6875
S&P 500 Total Return Index,10/26/95,-0.982
S&P 500 Total Return Index,10/27/95,0.527
S&P 500 Total Return Index,10/30/95,0.624
S&P 500 Total Return Index,10/31/95,-0.2987
S&P 500 Total Return Index,11/1/95,0.485
S&P 500 Total Return Index,11/2/95,0.9666
S&P 500 Total Return Index,11/3/95,0.1496
S&P 500 Total Return Index,11/6/95,-0.3477
S&P 500 Total Return Index,11/7/95,-0.3595
S&P 500 Total Return Index,11/8/95,0.9414
S&P 500 Total Return Index,11/9/95,0.2915
S&P 500 Total Return Index,11/10/95,-0.0855
S&P 500 Total Return Index,11/13/95,-0.0527
S&P 500 Total Return Index,11/14/95,-0.4979
S&P 500 Total Return Index,11/15/95,0.8193
S&P 500 Total Return Index,11/16/95,0.5764
S&P 500 Total Return Index,11/17/95,0.4582
S&P 500 Total Return Index,11/20/95,-0.5211
S&P 500 Total Return Index,11/21/95,0.58
S&P 500 Total Return Index,11/22/95,-0.3039
S&P 500 Total Return Index,11/24/95,0.2644
S&P 500 Total Return Index,11/27/95,0.2261
S&P 500 Total Return Index,11/28/95,0.8646
S&P 500 Total Return Index,11/29/95,0.2416
S&P 500 Total Return Index,11/30/95,-0.3731
S&P 500 Total Return Index,12/1/95,0.2677
S&P 500 Total Return Index,12/4/95,1.1102
S&P 500 Total Return Index,12/5/95,0.6613
S&P 500 Total Return Index,12/6/95,0.4287
S&P 500 Total Return Index,12/7/95,-0.6429
S&P 500 Total Return Index,12/8/95,0.2136
S&P 500 Total Return Index,12/11/95,0.3342
S&P 500 Total Return Index,12/12/95,-0.1194
S&P 500 Total Return Index,12/13/95,0.5134
S&P 500 Total Return Index,12/14/95,-0.7599
S&P 500 Total Return Index,12/15/95,-0.0934
S&P 500 Total Return Index,12/18/95,-1.538
S&P 500 Total Return Index,12/19/95,0.8438
S&P 500 Total Return Index,12/20/95,-0.9741
S&P 500 Total Return Index,12/21/95,0.7551
S&P 500 Total Return Index,12/22/95,0.2422
S&P 500 Total Return Index,12/26/95,0.3827
S&P 500 Total Return Index,12/27/95,0.0912
S&P 500 Total Return Index,12/28/95,-0.0645
S&P 500 Total Return Index,12/29/95,0.2976
S&P 500 Total Return Index,1/2/96,0.7803
S&P 500 Total Return Index,1/3/96,0.1128
S&P 500 Total Return Index,1/4/96,-0.5819
S&P 500 Total Return Index,1/5/96,-0.1599
S&P 500 Total Return Index,1/8/96,0.3127
S&P 500 Total Return Index,1/9/96,-1.4478
S&P 500 Total Return Index,1/10/96,-1.7917
S&P 500 Total Return Index,1/11/96,0.7077
S&P 500 Total Return Index,1/12/96,-0.1457
S&P 500 Total Return Index,1/15/96,-0.3306
S&P 500 Total Return Index,1/16/96,1.4381
S&P 500 Total Return Index,1/17/96,-0.3321
S&P 500 Total Return Index,1/18/96,0.3178
S&P 500 Total Return Index,1/19/96,0.5914
S&P 500 Total Return Index,1/22/96,0.2565
S&P 500 Total Return Index,1/23/96,-0.0988
S&P 500 Total Return Index,1/24/96,1.1741
S&P 500 Total Return Index,1/25/96,-0.4712
S&P 500 Total Return Index,1/26/96,0.7441
S&P 500 Total Return Index,1/29/96,0.4387
S&P 500 Total Return Index,1/30/96,0.9532
S&P 500 Total Return Index,1/31/96,0.9491
S&P 500 Total Return Index,2/1/96,0.4029
S&P 500 Total Return Index,2/2/96,-0.405
S&P 500 Total Return Index,2/5/96,0.8865
S&P 500 Total Return Index,2/6/96,0.7661
S&P 500 Total Return Index,2/7/96,0.5741
S&P 500 Total Return Index,2/8/96,0.9673
S&P 500 Total Return Index,2/9/96,0.0509
S&P 500 Total Return Index,2/12/96,0.7803
S&P 500 Total Return Index,2/13/96,-0.1161
S&P 500 Total Return Index,2/14/96,-0.7328
S&P 500 Total Return Index,2/15/96,-0.6318
S&P 500 Total Return Index,2/16/96,-0.5001
S&P 500 Total Return Index,2/20/96,-1.1296
S&P 500 Total Return Index,2/21/96,1.18
S&P 500 Total Return Index,2/22/96,1.6651
S&P 500 Total Return Index,2/23/96,0.0353
S&P 500 Total Return Index,2/26/96,-1.3067
S&P 500 Total Return Index,2/27/96,-0.4838
S&P 500 Total Return Index,2/28/96,-0.3545
S&P 500 Total Return Index,2/29/96,-0.6622
S&P 500 Total Return Index,3/1/96,0.6182
S&P 500 Total Return Index,3/4/96,1.016
S&P 500 Total Return Index,3/5/96,0.7749
S&P 500 Total Return Index,3/6/96,-0.548
S&P 500 Total Return Index,3/7/96,0.2601
S&P 500 Total Return Index,3/8/96,-3.0822
S&P 500 Total Return Index,3/11/96,1.034
S&P 500 Total Return Index,3/12/96,-0.4573
S&P 500 Total Return Index,3/13/96,0.2759
S&P 500 Total Return Index,3/14/96,0.3648
S&P 500 Total Return Index,3/15/96,0.0906
S&P 500 Total Return Index,3/18/96,1.7541
S&P 500 Total Return Index,3/19/96,-0.1446
S&P 500 Total Return Index,3/20/96,-0.2612
S&P 500 Total Return Index,3/21/96,-0.1155
S&P 500 Total Return Index,3/22/96,0.2205
S&P 500 Total Return Index,3/25/96,-0.0892
S&P 500 Total Return Index,3/26/96,0.4511
S&P 500 Total Return Index,3/27/96,-0.5913
S&P 500 Total Return Index,3/28/96,0.006
S&P 500 Total Return Index,3/29/96,-0.5304
S&P 500 Total Return Index,4/1/96,1.2761
S&P 500 Total Return Index,4/2/96,0.2544
S&P 500 Total Return Index,4/3/96,0.0968
S&P 500 Total Return Index,4/4/96,0.0047
S&P 500 Total Return Index,4/8/96,-1.7378
S&P 500 Total Return Index,4/9/96,-0.3155
S&P 500 Total Return Index,4/10/96,-1.3504
S&P 500 Total Return Index,4/11/96,-0.3563
S&P 500 Total Return Index,4/12/96,0.8767
S&P 500 Total Return Index,4/15/96,0.9067
S&P 500 Total Return Index,4/16/96,0.3909
S&P 500 Total Return Index,4/17/96,-0.5116
S&P 500 Total Return Index,4/18/96,0.3143
S&P 500 Total Return Index,4/19/96,0.2269
S&P 500 Total Return Index,4/22/96,0.4372
S&P 500 Total Return Index,4/23/96,0.5713
S&P 500 Total Return Index,4/24/96,-0.2123
S&P 500 Total Return Index,4/25/96,0.4159
S&P 500 Total Return Index,4/26/96,0.103
S&P 500 Total Return Index,4/29/96,0.11
S&P 500 Total Return Index,4/30/96,0.0106
S&P 500 Total Return Index,5/1/96,0.0756
S&P 500 Total Return Index,5/2/96,-1.6956
S&P 500 Total Return Index,5/3/96,-0.2677
S&P 500 Total Return Index,5/6/96,-0.1179
S&P 500 Total Return Index,5/7/96,-0.3952
S&P 500 Total Return Index,5/8/96,1.0464
S&P 500 Total Return Index,5/9/96,0.1305
S&P 500 Total Return Index,5/10/96,1.0402
S&P 500 Total Return Index,5/13/96,1.4638
S&P 500 Total Return Index,5/14/96,0.6356
S&P 500 Total Return Index,5/15/96,-0.0116
S&P 500 Total Return Index,5/16/96,-0.0753
S&P 500 Total Return Index,5/17/96,0.6519
S&P 500 Total Return Index,5/20/96,0.643
S&P 500 Total Return Index,5/21/96,-0.0561
S&P 500 Total Return Index,5/22/96,0.8547
S&P 500 Total Return Index,5/23/96,-0.3544
S&P 500 Total Return Index,5/24/96,0.3728
S&P 500 Total Return Index,5/28/96,-0.9245
S&P 500 Total Return Index,5/29/96,-0.6145
S&P 500 Total Return Index,5/30/96,0.5813
S&P 500 Total Return Index,5/31/96,-0.3796
S&P 500 Total Return Index,6/3/96,-0.2141
S&P 500 Total Return Index,6/4/96,0.736
S&P 500 Total Return Index,6/5/96,0.9024
S&P 500 Total Return Index,6/6/96,-0.7797
S&P 500 Total Return Index,6/7/96,0.0435
S&P 500 Total Return Index,6/10/96,-0.1669
S&P 500 Total Return Index,6/11/96,-0.1764
S&P 500 Total Return Index,6/12/96,-0.2432
S&P 500 Total Return Index,6/13/96,-0.161
S&P 500 Total Return Index,6/14/96,-0.3087
S&P 500 Total Return Index,6/17/96,-0.1005
S&P 500 Total Return Index,6/18/96,-0.4638
S&P 500 Total Return Index,6/19/96,-0.0139
S&P 500 Total Return Index,6/20/96,0.0244
S&P 500 Total Return Index,6/21/96,0.7181
S&P 500 Total Return Index,6/24/96,0.3023
S&P 500 Total Return Index,6/25/96,-0.0552
S&P 500 Total Return Index,6/26/96,-0.5812
S&P 500 Total Return Index,6/27/96,0.6274
S&P 500 Total Return Index,6/28/96,0.3117
S&P 500 Total Return Index,7/1/96,0.7982
S&P 500 Total Return Index,7/2/96,-0.3163
S&P 500 Total Return Index,7/3/96,-0.178
S&P 500 Total Return Index,7/5/96,-2.2227
S&P 500 Total Return Index,7/8/96,-0.7156
S&P 500 Total Return Index,7/9/96,0.3486
S&P 500 Total Return Index,7/10/96,0.2042
S&P 500 Total Return Index,7/11/96,-1.573
S&P 500 Total Return Index,7/12/96,0.0797
S&P 500 Total Return Index,7/15/96,-2.5362
S&P 500 Total Return Index,7/16/96,-0.2269
S&P 500 Total Return Index,7/17/96,0.9171
S&P 500 Total Return Index,7/18/96,1.5049
S&P 500 Total Return Index,7/19/96,-0.7496
S&P 500 Total Return Index,7/22/96,-0.7769
S&P 500 Total Return Index,7/23/96,-1.0873
