Name,ReferenceDate,DailyReturn,Add1InPercentSpace,Total Return
S&P 500 Total Return Index,5/4/90,0.8923,1.008923,-3.1494%
S&P 500 Total Return Index,5/7/90,0.664,1.00664,-2.5064%
S&P 500 Total Return Index,5/8/90,0.4704,1.004704,-2.0477%
S&P 500 Total Return Index,5/9/90,0.2691,1.002691,-1.7842%
S&P 500 Total Return Index,5/10/90,0.2952,1.002952,-1.4942%
S&P 500 Total Return Index,5/11/90,2.4027,1.024027,0.8726%
S&P 500 Total Return Index,5/14/90,0.8283,1.008283,1.7081%
S&P 500 Total Return Index,5/15/90,-0.127,0.99873,1.5789%
S&P 500 Total Return Index,5/16/90,-0.0571,0.999429,1.5209%
S&P 500 Total Return Index,5/17/90,0.1376,1.001376,1.6606%
S&P 500 Total Return Index,5/18/90,0.0493,1.000493,1.7107%
S&P 500 Total Return Index,5/21/90,0.9692,1.009692,2.6965%
S&P 500 Total Return Index,5/22/90,0.1771,1.001771,2.8784%
S&P 500 Total Return Index,5/23/90,0.2434,1.002434,3.1288%
S&P 500 Total Return Index,5/24/90,-0.2326,0.997674,2.8889%
S&P 500 Total Return Index,5/25/90,-1.0247,0.989753,1.8346%
S&P 500 Total Return Index,5/29/90,1.7367,1.017367,3.6032%
S&P 500 Total Return Index,5/30/90,0.0611,1.000611,3.6665%
S&P 500 Total Return Index,5/31/90,0.122,1.00122,3.7930%
S&P 500 Total Return Index,6/1/90,0.5434,1.005434,4.3570%
S&P 500 Total Return Index,6/4/90,1.187,1.01187,5.5957%
S&P 500 Total Return Index,6/5/90,-0.1947,0.998053,5.3901%
S&P 500 Total Return Index,6/6/90,-0.4527,0.995473,4.9130%
S&P 500 Total Return Index,6/7/90,-0.4924,0.995076,4.3964%
S&P 500 Total Return Index,6/8/90,-1.2219,0.987781,3.1208%
S&P 500 Total Return Index,6/11/90,0.8588,1.008588,4.0064%
S&P 500 Total Return Index,6/12/90,1.2823,1.012823,5.3401%
S&P 500 Total Return Index,6/13/90,-0.3653,0.996347,4.9553%
S&P 500 Total Return Index,6/14/90,-0.5449,0.994551,4.3834%
S&P 500 Total Return Index,6/15/90,0.005,1.00005,4.3886%
S&P 500 Total Return Index,6/18/90,-1.6563,0.983437,2.6596%
S&P 500 Total Return Index,6/19/90,0.4544,1.004544,3.1261%
S&P 500 Total Return Index,6/20/90,0.1763,1.001763,3.3079%
S&P 500 Total Return Index,6/21/90,0.3827,1.003827,3.7032%
S&P 500 Total Return Index,6/22/90,-1.3979,0.986021,2.2536%
S&P 500 Total Return Index,6/25/90,-0.8197,0.991803,1.4154%
S&P 500 Total Return Index,6/26/90,-0.0676,0.999324,1.3468%
S&P 500 Total Return Index,6/27/90,0.8764,1.008764,2.2350%
S&P 500 Total Return Index,6/28/90,0.709,1.00709,2.9599%
S&P 500 Total Return Index,6/29/90,0.128,1.00128,3.0917%
S&P 500 Total Return Index,7/2/90,0.427,1.00427,3.5319%
S&P 500 Total Return Index,7/3/90,0.2138,1.002138,3.7532%
S&P 500 Total Return Index,7/5/90,-1.227,0.98773,2.4802%
S&P 500 Total Return Index,7/6/90,0.7716,1.007716,3.2709%
S&P 500 Total Return Index,7/9/90,0.3139,1.003139,3.5951%
S&P 500 Total Return Index,7/10/90,-0.8396,0.991604,2.7253%
S&P 500 Total Return Index,7/11/90,1.3291,1.013291,4.0906%
S&P 500 Total Return Index,7/12/90,1.1648,1.011648,5.3031%
S&P 500 Total Return Index,7/13/90,0.5131,1.005131,5.8434%
S&P 500 Total Return Index,7/16/90,0.4682,1.004682,6.3389%
S&P 500 Total Return Index,7/17/90,-0.3867,0.996133,5.9277%
S&P 500 Total Return Index,7/18/90,-0.8933,0.991067,4.9815%
S&P 500 Total Return Index,7/19/90,0.3038,1.003038,5.3004%
S&P 500 Total Return Index,7/20/90,-1.0162,0.989838,4.2303%
S&P 500 Total Return Index,7/23/90,-1.7322,0.982678,2.4249%
S&P 500 Total Return Index,7/24/90,0.1364,1.001364,2.5646%
S&P 500 Total Return Index,7/25/90,0.3726,1.003726,2.9467%
S&P 500 Total Return Index,7/26/90,-0.3226,0.996774,2.6146%
S&P 500 Total Return Index,7/27/90,-0.6755,0.993245,1.9215%
S&P 500 Total Return Index,7/30/90,0.6206,1.006206,2.5540%
S&P 500 Total Return Index,7/31/90,0.203,1.00203,2.7622%
S&P 500 Total Return Index,8/1/90,-0.1718,0.998282,2.5856%
S&P 500 Total Return Index,8/2/90,-1.1202,0.988798,1.4365%
S&P 500 Total Return Index,8/3/90,-1.8682,0.981318,-0.4586%
S&P 500 Total Return Index,8/6/90,-2.9576,0.970424,-3.4026%
S&P 500 Total Return Index,8/7/90,0.1664,1.001664,-3.2419%
S&P 500 Total Return Index,8/8/90,1.0542,1.010542,-2.2218%
S&P 500 Total Return Index,8/9/90,0.4933,1.004933,-1.7395%
S&P 500 Total Return Index,8/10/90,-1.2714,0.987286,-2.9888%
S&P 500 Total Return Index,8/13/90,1.0215,1.010215,-1.9978%
S&P 500 Total Return Index,8/14/90,0.1775,1.001775,-1.8239%
S&P 500 Total Return Index,8/15/90,0.204,1.00204,-1.6236%
S&P 500 Total Return Index,8/16/90,-2.2371,0.977629,-3.8244%
S&P 500 Total Return Index,8/17/90,-1.3702,0.986298,-5.1422%
S&P 500 Total Return Index,8/20/90,0.2278,1.002278,-4.9261%
S&P 500 Total Return Index,8/21/90,-2.0126,0.979874,-6.8395%
S&P 500 Total Return Index,8/22/90,-1.6466,0.983534,-8.3735%
S&P 500 Total Return Index,8/23/90,-2.9974,0.970026,-11.1199%
S&P 500 Total Return Index,8/24/90,1.4501,1.014501,-9.8311%
S&P 500 Total Return Index,8/27/90,3.227,1.03227,-6.9213%
S&P 500 Total Return Index,8/28/90,0.0057,1.000057,-6.9160%
S&P 500 Total Return Index,8/29/90,0.8948,1.008948,-6.0831%
S&P 500 Total Return Index,8/30/90,-1.6894,0.983106,-7.6697%
S&P 500 Total Return Index,8/31/90,1.2389,1.012389,-6.5259%
S&P 500 Total Return Index,9/4/90,0.1889,1.001889,-6.3493%
S&P 500 Total Return Index,9/5/90,0.4025,1.004025,-5.9723%
S&P 500 Total Return Index,9/6/90,-1.2053,0.987947,-7.1057%
S&P 500 Total Return Index,9/7/90,0.9193,1.009193,-6.2517%
S&P 500 Total Return Index,9/10/90,-0.5004,0.994996,-6.7208%
S&P 500 Total Return Index,9/11/90,-0.1667,0.998333,-6.8763%
S&P 500 Total Return Index,9/12/90,0.467,1.00467,-6.4414%
S&P 500 Total Return Index,9/13/90,-1.2057,0.987943,-7.5694%
S&P 500 Total Return Index,9/14/90,-0.5675,0.994325,-8.0940%
S&P 500 Total Return Index,9/17/90,0.304,1.00304,-7.8146%
S&P 500 Total Return Index,9/18/90,0.3174,1.003174,-7.5220%
S&P 500 Total Return Index,9/19/90,-0.627,0.99373,-8.1018%
S&P 500 Total Return Index,9/20/90,-1.5975,0.984025,-9.5699%
S&P 500 Total Return Index,9/21/90,-0.0495,0.999505,-9.6147%
S&P 500 Total Return Index,9/24/90,-2.1171,0.978829,-11.5282%
S&P 500 Total Return Index,9/25/90,1.2155,1.012155,-10.4528%
S&P 500 Total Return Index,9/26/90,-1.0361,0.989639,-11.3806%
S&P 500 Total Return Index,9/27/90,-1.3205,0.986795,-12.5509%
S&P 500 Total Return Index,9/28/90,1.6878,1.016878,-11.0749%
S&P 500 Total Return Index,10/1/90,2.9373,1.029373,-8.4629%
S&P 500 Total Return Index,10/2/90,0.0864,1.000864,-8.3838%
S&P 500 Total Return Index,10/3/90,-1.145,0.98855,-9.4328%
S&P 500 Total Return Index,10/4/90,0.4162,1.004162,-9.0559%
S&P 500 Total Return Index,10/5/90,-0.3768,0.996232,-9.3985%
S&P 500 Total Return Index,10/8/90,0.6342,1.006342,-8.8240%
S&P 500 Total Return Index,10/9/90,-2.6653,0.973347,-11.2541%
S&P 500 Total Return Index,10/10/90,-1.5414,0.984586,-12.6220%
S&P 500 Total Return Index,10/11/90,-1.6409,0.983591,-14.0558%
S&P 500 Total Return Index,10/12/90,1.5456,1.015456,-12.7274%
S&P 500 Total Return Index,10/15/90,1.0902,1.010902,-11.7760%
S&P 500 Total Return Index,10/16/90,-1.4191,0.985809,-13.0280%
S&P 500 Total Return Index,10/17/90,-0.0485,0.999515,-13.0702%
S&P 500 Total Return Index,10/18/90,2.3376,1.023376,-11.0381%
S&P 500 Total Return Index,10/19/90,2.2072,1.022072,-9.0745%
S&P 500 Total Return Index,10/22/90,0.7421,1.007421,-8.3998%
S&P 500 Total Return Index,10/23/90,-0.7625,0.992375,-9.0982%
S&P 500 Total Return Index,10/24/90,0.0812,1.000812,-9.0244%
S&P 500 Total Return Index,10/25/90,-0.7706,0.992294,-9.7255%
S&P 500 Total Return Index,10/26/90,-1.7343,0.982657,-11.2911%
S&P 500 Total Return Index,10/29/90,-0.9092,0.990908,-12.0976%
S&P 500 Total Return Index,10/30/90,0.7496,1.007496,-11.4387%
S&P 500 Total Return Index,10/31/90,-0.0179,0.999821,-11.4546%
S&P 500 Total Return Index,11/1/90,1.0121,1.010121,-10.5584%
S&P 500 Total Return Index,11/2/90,1.5854,1.015854,-9.1404%
S&P 500 Total Return Index,11/5/90,1.0066,1.010066,-8.2258%
S&P 500 Total Return Index,11/6/90,-0.9219,0.990781,-9.0719%
S&P 500 Total Return Index,11/7/90,-1.7914,0.982086,-10.7007%
S&P 500 Total Return Index,11/8/90,0.5755,1.005755,-10.1868%
S&P 500 Total Return Index,11/9/90,2.0396,1.020396,-8.3550%
S&P 500 Total Return Index,11/12/90,1.8291,1.018291,-6.6787%
S&P 500 Total Return Index,11/13/90,-0.5536,0.994464,-7.1953%
S&P 500 Total Return Index,11/14/90,0.8776,1.008776,-6.3809%
S&P 500 Total Return Index,11/15/90,-1.0501,0.989499,-7.3640%
S&P 500 Total Return Index,11/16/90,0.0626,1.000626,-7.3060%
S&P 500 Total Return Index,11/19/90,0.7023,1.007023,-6.6550%
S&P 500 Total Return Index,11/20/90,-1.2593,0.987407,-7.8305%
S&P 500 Total Return Index,11/21/90,0.2345,1.002345,-7.6144%
S&P 500 Total Return Index,11/23/90,-0.2938,0.997062,-7.8858%
S&P 500 Total Return Index,11/26/90,0.4836,1.004836,-7.4403%
S&P 500 Total Return Index,11/27/90,0.541,1.00541,-6.9396%
S&P 500 Total Return Index,11/28/90,-0.0453,0.999547,-6.9817%
S&P 500 Total Return Index,11/29/90,-0.4789,0.995211,-7.4272%
S&P 500 Total Return Index,11/30/90,1.8336,1.018336,-5.7298%
S&P 500 Total Return Index,12/3/90,0.6514,1.006514,-5.1157%
S&P 500 Total Return Index,12/4/90,0.7139,1.007139,-4.4383%
S&P 500 Total Return Index,12/5/90,1.095,1.01095,-3.3919%
S&P 500 Total Return Index,12/6/90,-0.251,0.99749,-3.6344%
S&P 500 Total Return Index,12/7/90,-0.3966,0.996034,-4.0166%
S&P 500 Total Return Index,12/10/90,0.3652,1.003652,-3.6661%
S&P 500 Total Return Index,12/11/90,-0.7059,0.992941,-4.3461%
S&P 500 Total Return Index,12/12/90,1.149,1.01149,-3.2470%
S&P 500 Total Return Index,12/13/90,-0.2506,0.997494,-3.4895%
S&P 500 Total Return Index,12/14/90,-0.7647,0.992353,-4.2275%
S&P 500 Total Return Index,12/17/90,-0.2394,0.997606,-4.4568%
S&P 500 Total Return Index,12/18/90,1.2414,1.012414,-3.2707%
S&P 500 Total Return Index,12/19/90,0.0518,1.000518,-3.2206%
S&P 500 Total Return Index,12/20/90,-0.0245,0.999755,-3.2443%
S&P 500 Total Return Index,12/21/90,0.4931,1.004931,-2.7672%
S&P 500 Total Return Index,12/24/90,-0.4825,0.995175,-3.2364%
S&P 500 Total Return Index,12/26/90,0.2942,1.002942,-2.9517%
S&P 500 Total Return Index,12/27/90,-0.7713,0.992287,-3.7002%
