Name,ReferenceDate,DailyReturn,Add1InPercentSpace,Total Return
S&P 500 Total Return Index,1/22/98,-0.8,0.992,239.9160%
S&P 500 Total Return Index,1/23/98,-0.5645,0.994355,237.9971%
S&P 500 Total Return Index,1/26/98,-0.0671,0.999329,237.7703%
S&P 500 Total Return Index,1/27/98,1.261,1.01261,242.0296%
S&P 500 Total Return Index,1/28/98,0.8947,1.008947,245.0898%
S&P 500 Total Return Index,1/29/98,0.8287,1.008287,247.9495%
S&P 500 Total Return Index,1/30/98,-0.528,0.99472,246.1124%
S&P 500 Total Return Index,2/2/98,2.1421,1.021421,253.5264%
S&P 500 Total Return Index,2/3/98,0.4771,1.004771,255.2131%
S&P 500 Total Return Index,2/4/98,0.1031,1.001031,255.5793%
S&P 500 Total Return Index,2/5/98,-0.3217,0.996783,254.4354%
S&P 500 Total Return Index,2/6/98,0.9065,1.009065,257.6484%
S&P 500 Total Return Index,2/9/98,-0.1629,0.998371,257.0658%
S&P 500 Total Return Index,2/10/98,0.8193,1.008193,259.9912%
S&P 500 Total Return Index,2/11/98,0.1201,1.001201,260.4236%
S&P 500 Total Return Index,2/12/98,0.4146,1.004146,261.9179%
S&P 500 Total Return Index,2/13/98,-0.3925,0.996075,260.4974%
S&P 500 Total Return Index,2/17/98,0.2661,1.002661,261.4566%
S&P 500 Total Return Index,2/18/98,0.9355,1.009355,264.8381%
S&P 500 Total Return Index,2/19/98,-0.3648,0.996352,263.5071%
S&P 500 Total Return Index,2/20/98,0.5779,1.005779,265.6078%
S&P 500 Total Return Index,2/23/98,0.3821,1.003821,267.0048%
S&P 500 Total Return Index,2/24/98,-0.7304,0.992696,264.3242%
S&P 500 Total Return Index,2/25/98,1.2118,1.012118,268.7391%
S&P 500 Total Return Index,2/26/98,0.5654,1.005654,270.8240%
S&P 500 Total Return Index,2/27/98,0.0675,1.000675,271.0743%
S&P 500 Total Return Index,3/2/98,-0.1541,0.998459,270.5024%
S&P 500 Total Return Index,3/3/98,0.4133,1.004133,272.0337%
S&P 500 Total Return Index,3/4/98,-0.4237,0.995763,270.4574%
S&P 500 Total Return Index,3/5/98,-1.159,0.98841,266.1638%
S&P 500 Total Return Index,3/6/98,2.0032,1.020032,273.4988%
S&P 500 Total Return Index,3/9/98,-0.319,0.99681,272.3074%
S&P 500 Total Return Index,3/10/98,1.1362,1.011362,276.5375%
S&P 500 Total Return Index,3/11/98,0.4151,1.004151,278.1005%
S&P 500 Total Return Index,3/12/98,0.1513,1.001513,278.6726%
S&P 500 Total Return Index,3/13/98,-0.1211,0.998789,278.2140%
S&P 500 Total Return Index,3/16/98,0.9993,1.009993,281.9935%
S&P 500 Total Return Index,3/17/98,0.109,1.00109,282.4099%
S&P 500 Total Return Index,3/18/98,0.4742,1.004742,284.2233%
S&P 500 Total Return Index,3/19/98,0.3924,1.003924,285.7310%
S&P 500 Total Return Index,3/20/98,0.865,1.00865,289.0675%
S&P 500 Total Return Index,3/23/98,-0.3265,0.996735,287.7972%
S&P 500 Total Return Index,3/24/98,0.9223,1.009223,291.3739%
S&P 500 Total Return Index,3/25/98,-0.3347,0.996653,290.0639%
S&P 500 Total Return Index,3/26/98,-0.1027,0.998973,289.6634%
S&P 500 Total Return Index,3/27/98,-0.4694,0.995306,287.8343%
S&P 500 Total Return Index,3/30/98,-0.1713,0.998287,287.1699%
S&P 500 Total Return Index,3/31/98,0.7509,1.007509,290.0772%
S&P 500 Total Return Index,4/1/98,0.5878,1.005878,292.3700%
S&P 500 Total Return Index,4/2/98,1.0741,1.010741,296.5845%
S&P 500 Total Return Index,4/3/98,0.2412,1.002412,297.5411%
S&P 500 Total Return Index,4/6/98,-0.1167,0.998833,297.0771%
S&P 500 Total Return Index,4/7/98,-1.0249,0.989751,293.0075%
S&P 500 Total Return Index,4/8/98,-0.7095,0.992905,290.2191%
S&P 500 Total Return Index,4/9/98,0.82,1.0082,293.4189%
S&P 500 Total Return Index,4/13/98,-0.0824,0.999176,293.0947%
S&P 500 Total Return Index,4/14/98,0.5458,1.005458,295.2402%
S&P 500 Total Return Index,4/15/98,0.3208,1.003208,296.5082%
S&P 500 Total Return Index,4/16/98,-0.9944,0.990056,292.5653%
S&P 500 Total Return Index,4/17/98,1.3139,1.013139,297.7232%
S&P 500 Total Return Index,4/20/98,0.0828,1.000828,298.0525%
S&P 500 Total Return Index,4/21/98,0.2695,1.002695,299.1253%
S&P 500 Total Return Index,4/22/98,0.3493,1.003493,300.5194%
S&P 500 Total Return Index,4/23/98,-0.968,0.99032,296.6424%
S&P 500 Total Return Index,4/24/98,-1.0433,0.989567,292.5042%
S&P 500 Total Return Index,4/27/98,-1.9279,0.980721,284.9371%
S&P 500 Total Return Index,4/28/98,-0.1212,0.998788,284.4706%
S&P 500 Total Return Index,4/29/98,0.8939,1.008939,287.9074%
S&P 500 Total Return Index,4/30/98,1.5709,1.015709,294.0010%
S&P 500 Total Return Index,5/1/98,0.8322,1.008322,297.2799%
S&P 500 Total Return Index,5/4/98,0.0955,1.000955,297.6593%
S&P 500 Total Return Index,5/5/98,-0.5833,0.994167,295.3397%
S&P 500 Total Return Index,5/6/98,-0.9247,0.990753,291.6840%
S&P 500 Total Return Index,5/7/98,-0.8828,0.991172,288.2262%
S&P 500 Total Return Index,5/8/98,1.1881,1.011881,292.8387%
S&P 500 Total Return Index,5/11/98,-0.0859,0.999141,292.5013%
S&P 500 Total Return Index,5/12/98,0.8313,1.008313,295.7642%
S&P 500 Total Return Index,5/13/98,0.2944,1.002944,296.9293%
S&P 500 Total Return Index,5/14/98,-0.1308,0.998692,296.4101%
S&P 500 Total Return Index,5/15/98,-0.7693,0.992307,293.3605%
S&P 500 Total Return Index,5/18/98,-0.2513,0.997487,292.3720%
S&P 500 Total Return Index,5/19/98,0.3352,1.003352,293.6872%
S&P 500 Total Return Index,5/20/98,0.8737,1.008737,297.1269%
S&P 500 Total Return Index,5/21/98,-0.3949,0.996051,295.5586%
S&P 500 Total Return Index,5/22/98,-0.3738,0.996262,294.0800%
S&P 500 Total Return Index,5/26/98,-1.4801,0.985199,288.2473%
S&P 500 Total Return Index,5/27/98,-0.1507,0.998493,287.6622%
S&P 500 Total Return Index,5/28/98,0.5058,1.005058,289.6230%
S&P 500 Total Return Index,5/29/98,-0.6149,0.993851,287.2272%
S&P 500 Total Return Index,6/1/98,0.0184,1.000184,287.2984%
S&P 500 Total Return Index,6/2/98,0.2055,1.002055,288.0943%
S&P 500 Total Return Index,6/3/98,-0.9372,0.990628,284.4571%
S&P 500 Total Return Index,6/4/98,1.1181,1.011181,288.7557%
S&P 500 Total Return Index,6/5/98,1.7417,1.017417,295.5267%
S&P 500 Total Return Index,6/8/98,0.1726,1.001726,296.2093%
S&P 500 Total Return Index,6/9/98,0.2435,1.002435,297.1741%
S&P 500 Total Return Index,6/10/98,-0.5428,0.994572,295.0183%
S&P 500 Total Return Index,6/11/98,-1.5653,0.984347,288.8350%
S&P 500 Total Return Index,6/12/98,0.3911,1.003911,290.3558%
S&P 500 Total Return Index,6/15/98,-1.9857,0.980143,282.6045%
S&P 500 Total Return Index,6/16/98,0.9823,1.009823,286.3628%
S&P 500 Total Return Index,6/17/98,1.7989,1.017989,293.3131%
S&P 500 Total Return Index,6/18/98,-0.063,0.99937,293.0653%
S&P 500 Total Return Index,6/19/98,-0.5156,0.994844,291.0386%
S&P 500 Total Return Index,6/22/98,0.2339,1.002339,291.9533%
S&P 500 Total Return Index,6/23/98,1.476,1.01476,297.7385%
S&P 500 Total Return Index,6/24/98,1.2001,1.012001,302.5118%
S&P 500 Total Return Index,6/25/98,-0.3182,0.996818,301.2310%
S&P 500 Total Return Index,6/26/98,0.3639,1.003639,302.6911%
S&P 500 Total Return Index,6/29/98,0.468,1.00468,304.5757%
S&P 500 Total Return Index,6/30/98,-0.4,0.996,302.9574%
S&P 500 Total Return Index,7/1/98,1.3016,1.013016,308.2022%
S&P 500 Total Return Index,7/2/98,-0.186,0.99814,307.4430%
S&P 500 Total Return Index,7/6/98,0.9664,1.009664,311.3805%
S&P 500 Total Return Index,7/7/98,-0.2294,0.997706,310.4368%
S&P 500 Total Return Index,7/8/98,1.0403,1.010403,314.7066%
S&P 500 Total Return Index,7/9/98,-0.6692,0.993308,311.9314%
S&P 500 Total Return Index,7/10/98,0.4984,1.004984,313.9844%
S&P 500 Total Return Index,7/13/98,0.0777,1.000777,314.3061%
S&P 500 Total Return Index,7/14/98,1.0649,1.010649,318.7181%
S&P 500 Total Return Index,7/15/98,-0.2348,0.997652,317.7349%
S&P 500 Total Return Index,7/16/98,0.7836,1.007836,321.0083%
S&P 500 Total Return Index,7/17/98,0.2329,1.002329,321.9888%
S&P 500 Total Return Index,7/20/98,-0.2223,0.997777,321.0507%
S&P 500 Total Return Index,7/21/98,-1.6069,0.983931,314.2849%
S&P 500 Total Return Index,7/22/98,-0.0776,0.999224,313.9634%
S&P 500 Total Return Index,7/23/98,-2.089,0.97911,305.3157%
S&P 500 Total Return Index,7/24/98,0.0917,1.000917,305.6873%
S&P 500 Total Return Index,7/27/98,0.5678,1.005678,307.9908%
S&P 500 Total Return Index,7/28/98,-1.4845,0.985155,301.9342%
S&P 500 Total Return Index,7/29/98,-0.4256,0.995744,300.2236%
S&P 500 Total Return Index,7/30/98,1.591,1.01591,306.5911%
S&P 500 Total Return Index,7/31/98,-1.9492,0.980508,298.6659%
S&P 500 Total Return Index,8/3/98,-0.7312,0.992688,295.7508%
S&P 500 Total Return Index,8/4/98,-3.6216,0.963784,281.4183%
S&P 500 Total Return Index,8/5/98,0.8824,1.008824,284.7839%
S&P 500 Total Return Index,8/6/98,0.7672,1.007672,287.7360%
S&P 500 Total Return Index,8/7/98,-0.0163,0.999837,287.6728%
S&P 500 Total Return Index,8/10/98,-0.5731,0.994269,285.4511%
S&P 500 Total Return Index,8/11/98,-1.2882,0.987118,280.4857%
S&P 500 Total Return Index,8/12/98,1.445,1.01445,285.9837%
S&P 500 Total Return Index,8/13/98,-0.8563,0.991437,282.6785%
S&P 500 Total Return Index,8/14/98,-1.1261,0.988739,278.3692%
S&P 500 Total Return Index,8/17/98,1.9713,1.019713,285.8280%
S&P 500 Total Return Index,8/18/98,1.6279,1.016279,292.1089%
S&P 500 Total Return Index,8/19/98,-0.279,0.99721,291.0149%
S&P 500 Total Return Index,8/20/98,-0.5824,0.994176,288.7376%
S&P 500 Total Return Index,8/21/98,-0.9472,0.990528,285.0555%
S&P 500 Total Return Index,8/24/98,0.6386,1.006386,287.5144%
S&P 500 Total Return Index,8/25/98,0.4326,1.004326,289.1908%
S&P 500 Total Return Index,8/26/98,-0.7842,0.992158,286.1388%
S&P 500 Total Return Index,8/27/98,-3.8278,0.961722,271.3582%
S&P 500 Total Return Index,8/28/98,-1.4677,0.985323,265.9078%
S&P 500 Total Return Index,8/31/98,-6.7997,0.932003,241.0271%
S&P 500 Total Return Index,9/1/98,3.8674,1.038674,254.2160%
S&P 500 Total Return Index,9/2/98,-0.3572,0.996428,252.9507%
S&P 500 Total Return Index,9/3/98,-0.8266,0.991734,250.0333%
S&P 500 Total Return Index,9/4/98,-0.8478,0.991522,247.0657%
S&P 500 Total Return Index,9/8/98,5.0964,1.050964,264.7535%
S&P 500 Total Return Index,9/9/98,-1.6807,0.983193,258.6231%
S&P 500 Total Return Index,9/10/98,-2.5833,0.974167,249.3588%
S&P 500 Total Return Index,9/11/98,2.9755,1.029755,259.7540%
S&P 500 Total Return Index,9/14/98,2.0675,1.020675,267.1919%
S&P 500 Total Return Index,9/15/98,0.7731,1.007731,270.0307%
S&P 500 Total Return Index,9/16/98,0.7586,1.007586,272.8377%
S&P 500 Total Return Index,9/17/98,-2.5385,0.974615,263.3732%
S&P 500 Total Return Index,9/18/98,0.1204,1.001204,263.8107%
S&P 500 Total Return Index,9/21/98,0.3745,1.003745,265.1732%
S&P 500 Total Return Index,9/22/98,0.5608,1.005608,267.2211%
S&P 500 Total Return Index,9/23/98,3.5442,1.035442,280.2361%
S&P 500 Total Return Index,9/24/98,-2.1918,0.978082,271.9021%
S&P 500 Total Return Index,9/25/98,0.1949,1.001949,272.6270%
S&P 500 Total Return Index,9/28/98,0.4088,1.004088,274.1503%
S&P 500 Total Return Index,9/29/98,0.0331,1.000331,274.2741%
S&P 500 Total Return Index,9/30/98,-3.0457,0.969543,262.8748%
S&P 500 Total Return Index,10/1/98,-3.0092,0.969908,251.9552%
S&P 500 Total Return Index,10/2/98,1.649,1.01649,257.7589%
S&P 500 Total Return Index,10/5/98,-1.4005,0.985995,252.7485%
S&P 500 Total Return Index,10/6/98,-0.396,0.99604,251.3516%
S&P 500 Total Return Index,10/7/98,-1.3833,0.986167,246.4914%
S&P 500 Total Return Index,10/8/98,-1.1555,0.988445,242.4877%
S&P 500 Total Return Index,10/9/98,2.6004,1.026004,251.3937%
S&P 500 Total Return Index,10/12/98,1.3531,1.013531,256.1484%
S&P 500 Total Return Index,10/13/98,-0.2857,0.997143,255.1309%
S&P 500 Total Return Index,10/14/98,1.0806,1.010806,258.9685%
S&P 500 Total Return Index,10/15/98,4.1734,1.041734,273.9497%
S&P 500 Total Return Index,10/16/98,0.8535,1.008535,277.1413%
S&P 500 Total Return Index,10/19/98,0.5647,1.005647,279.2710%
S&P 500 Total Return Index,10/20/98,0.1452,1.001452,279.8217%
S&P 500 Total Return Index,10/21/98,0.5697,1.005697,281.9856%
S&P 500 Total Return Index,10/22/98,0.8025,1.008025,285.0510%
S&P 500 Total Return Index,10/23/98,-0.7228,0.992772,282.2679%
S&P 500 Total Return Index,10/26/98,0.1538,1.001538,282.8558%
S&P 500 Total Return Index,10/27/98,-0.6506,0.993494,280.3649%
S&P 500 Total Return Index,10/28/98,0.2772,1.002772,281.4193%
S&P 500 Total Return Index,10/29/98,1.6833,1.016833,287.8397%
S&P 500 Total Return Index,10/30/98,1.1736,1.011736,292.3914%
S&P 500 Total Return Index,11/2/98,1.1775,1.011775,297.0118%
S&P 500 Total Return Index,11/3/98,-0.0657,0.999343,296.7510%
S&P 500 Total Return Index,11/4/98,0.7194,1.007194,299.6052%
S&P 500 Total Return Index,11/5/98,1.3653,1.013653,305.0610%
S&P 500 Total Return Index,11/6/98,0.6409,1.006409,307.6571%
S&P 500 Total Return Index,11/9/98,-0.9317,0.990683,303.8589%
S&P 500 Total Return Index,11/10/98,-0.1547,0.998453,303.2342%
S&P 500 Total Return Index,11/11/98,-0.6458,0.993542,300.6301%
S&P 500 Total Return Index,11/12/98,-0.2822,0.997178,299.4995%
S&P 500 Total Return Index,11/13/98,0.7231,1.007231,302.3883%
S&P 500 Total Return Index,11/16/98,0.9039,1.009039,306.0255%
S&P 500 Total Return Index,11/17/98,0.3051,1.003051,307.2643%
S&P 500 Total Return Index,11/18/98,0.4653,1.004653,309.1593%
S&P 500 Total Return Index,11/19/98,0.7163,1.007163,312.0901%
S&P 500 Total Return Index,11/20/98,0.9498,1.009498,316.0041%
S&P 500 Total Return Index,11/23/98,2.1205,1.021205,324.8255%
S&P 500 Total Return Index,11/24/98,-0.4324,0.995676,322.9885%
S&P 500 Total Return Index,11/25/98,0.3371,1.003371,324.4144%
S&P 500 Total Return Index,11/27/98,0.4763,1.004763,326.4359%
S&P 500 Total Return Index,11/30/98,-2.4061,0.975939,316.1754%
S&P 500 Total Return Index,12/1/98,1.0038,1.010038,320.3530%
S&P 500 Total Return Index,12/2/98,-0.3198,0.996802,319.0087%
S&P 500 Total Return Index,12/3/98,-1.7996,0.982004,311.4682%
S&P 500 Total Return Index,12/4/98,2.313,1.02313,320.9855%
S&P 500 Total Return Index,12/7/98,0.9335,1.009335,324.9154%
S&P 500 Total Return Index,12/8/98,-0.5266,0.994734,322.6778%
S&P 500 Total Return Index,12/9/98,0.1864,1.001864,323.4656%
S&P 500 Total Return Index,12/10/98,-1.5579,0.984421,316.8685%
S&P 500 Total Return Index,12/11/98,0.1435,1.001435,317.4667%
S&P 500 Total Return Index,12/14/98,-2.1649,0.978351,308.4289%
S&P 500 Total Return Index,12/15/98,1.8966,1.018966,316.1752%
S&P 500 Total Return Index,12/16/98,-0.0728,0.999272,315.8722%
S&P 500 Total Return Index,12/17/98,1.5591,1.015591,322.3561%
S&P 500 Total Return Index,12/18/98,0.6827,1.006827,325.2395%
S&P 500 Total Return Index,12/21/98,1.2489,1.012489,330.5503%
S&P 500 Total Return Index,12/22/98,0.0624,1.000624,330.8190%
S&P 500 Total Return Index,12/23/98,2.0752,1.020752,339.7594%
S&P 500 Total Return Index,12/24/98,-0.1828,0.998172,338.9555%
S&P 500 Total Return Index,12/28/98,-0.0636,0.999364,338.6763%
S&P 500 Total Return Index,12/29/98,1.3603,1.013603,344.6436%
S&P 500 Total Return Index,12/30/98,-0.7925,0.992075,341.1198%
S&P 500 Total Return Index,12/31/98,-0.2181,0.997819,340.1577%
S&P 500 Total Return Index,1/4/99,-0.0892,0.999108,339.7651%
S&P 500 Total Return Index,1/5/99,1.3623,1.013623,345.7560%
S&P 500 Total Return Index,1/6/99,2.2368,1.022368,355.7267%
S&P 500 Total Return Index,1/7/99,-0.1989,0.998011,354.8203%
S&P 500 Total Return Index,1/8/99,0.4225,1.004225,356.7419%
S&P 500 Total Return Index,1/11/99,-0.8794,0.991206,352.7253%
S&P 500 Total Return Index,1/12/99,-1.9282,0.980718,343.9958%
S&P 500 Total Return Index,1/13/99,-0.406,0.99594,342.1932%
S&P 500 Total Return Index,1/14/99,-1.7977,0.982023,334.2439%
S&P 500 Total Return Index,1/15/99,2.5644,1.025644,345.3797%
S&P 500 Total Return Index,1/19/99,0.7036,1.007036,348.5134%
S&P 500 Total Return Index,1/20/99,0.3749,1.003749,350.1948%
S&P 500 Total Return Index,1/21/99,-1.7072,0.982928,342.5091%
S&P 500 Total Return Index,1/22/99,-0.8065,0.991935,338.9403%
S&P 500 Total Return Index,1/25/99,0.7175,1.007175,342.0897%
S&P 500 Total Return Index,1/26/99,1.4863,1.014863,348.6604%
S&P 500 Total Return Index,1/27/99,-0.7161,0.992839,345.4476%
S&P 500 Total Return Index,1/28/99,1.7964,1.017964,353.4496%
S&P 500 Total Return Index,1/29/99,1.1276,1.011276,358.5627%
S&P 500 Total Return Index,2/1/99,-0.519,0.99481,356.1828%
S&P 500 Total Return Index,2/2/99,-0.8609,0.991391,352.2555%
S&P 500 Total Return Index,2/3/99,0.8118,1.008118,355.9269%
S&P 500 Total Return Index,2/4/99,-1.8458,0.981542,347.5114%
S&P 500 Total Return Index,2/5/99,-0.7262,0.992738,344.2616%
S&P 500 Total Return Index,2/8/99,0.369,1.00369,345.9009%
S&P 500 Total Return Index,2/9/99,-2.2201,0.977799,336.0015%
S&P 500 Total Return Index,2/10/99,0.6287,1.006287,338.7426%
S&P 500 Total Return Index,2/11/99,2.4996,1.024996,349.7094%
S&P 500 Total Return Index,2/12/99,-1.9036,0.980964,341.1487%
S&P 500 Total Return Index,2/16/99,0.9553,1.009553,345.3630%
S&P 500 Total Return Index,2/17/99,-1.4251,0.985749,339.0162%
S&P 500 Total Return Index,2/18/99,1.0902,1.010902,343.8023%
S&P 500 Total Return Index,2/19/99,0.1568,1.001568,344.4982%
S&P 500 Total Return Index,2/22/99,2.6588,1.026588,356.3165%
S&P 500 Total Return Index,2/23/99,-0.0734,0.999266,355.9816%
S&P 500 Total Return Index,2/24/99,-1.3884,0.986116,349.6507%
S&P 500 Total Return Index,2/25/99,-0.6565,0.993435,346.6988%
S&P 500 Total Return Index,2/26/99,-0.5346,0.994654,344.3107%
S&P 500 Total Return Index,3/1/99,-0.1726,0.998274,343.5438%
S&P 500 Total Return Index,3/2/99,-0.861,0.99139,339.7249%
S&P 500 Total Return Index,3/3/99,0.202,1.00202,340.6132%
S&P 500 Total Return Index,3/4/99,1.5565,1.015565,347.4713%
S&P 500 Total Return Index,3/5/99,2.3142,1.023142,357.8267%
S&P 500 Total Return Index,3/8/99,0.5751,1.005751,360.4597%
S&P 500 Total Return Index,3/9/99,-0.225,0.99775,359.4236%
S&P 500 Total Return Index,3/10/99,0.553,1.00553,361.9642%
S&P 500 Total Return Index,3/11/99,0.8661,1.008661,365.9653%
S&P 500 Total Return Index,3/12/99,-0.237,0.99763,364.8610%
S&P 500 Total Return Index,3/15/99,0.9797,1.009797,369.4152%
S&P 500 Total Return Index,3/16/99,-0.0663,0.999337,369.1040%
S&P 500 Total Return Index,3/17/99,-0.6501,0.993499,366.0543%
S&P 500 Total Return Index,3/18/99,1.4466,1.014466,372.7963%
S&P 500 Total Return Index,3/19/99,-1.3106,0.986894,366.5998%
S&P 500 Total Return Index,3/22/99,-0.174,0.99826,365.7879%
S&P 500 Total Return Index,3/23/99,-2.6878,0.973122,353.2685%
S&P 500 Total Return Index,3/24/99,0.5123,1.005123,355.5906%
S&P 500 Total Return Index,3/25/99,1.6881,1.016881,363.2814%
S&P 500 Total Return Index,3/26/99,-0.5575,0.994425,360.6986%
S&P 500 Total Return Index,3/29/99,2.1482,1.021482,370.5953%
S&P 500 Total Return Index,3/30/99,-0.7118,0.992882,367.2456%
S&P 500 Total Return Index,3/31/99,-1.1045,0.988955,362.0849%
S&P 500 Total Return Index,4/1/99,0.5761,1.005761,364.7470%
S&P 500 Total Return Index,4/5/99,2.1187,1.021187,374.5936%
S&P 500 Total Return Index,4/6/99,-0.2405,0.997595,373.4522%
S&P 500 Total Return Index,4/7/99,0.7031,1.007031,376.7810%
S&P 500 Total Return Index,4/8/99,1.2919,1.012919,382.9406%
S&P 500 Total Return Index,4/9/99,0.3253,1.003253,384.5116%
S&P 500 Total Return Index,4/12/99,0.7643,1.007643,388.2147%
S&P 500 Total Return Index,4/13/99,-0.6451,0.993549,385.0652%
S&P 500 Total Return Index,4/14/99,-1.5817,0.984183,377.3929%
S&P 500 Total Return Index,4/15/99,-0.4201,0.995799,375.3874%
S&P 500 Total Return Index,4/16/99,-0.2916,0.997084,374.0012%
S&P 500 Total Return Index,4/19/99,-2.237,0.97763,363.3978%
S&P 500 Total Return Index,4/20/99,1.2939,1.012939,369.3937%
S&P 500 Total Return Index,4/21/99,2.2988,1.022988,380.1841%
S&P 500 Total Return Index,4/22/99,1.7004,1.017004,388.3492%
S&P 500 Total Return Index,4/23/99,-0.1446,0.998554,387.6430%
S&P 500 Total Return Index,4/26/99,0.2351,1.002351,388.7894%
S&P 500 Total Return Index,4/27/99,0.2027,1.002027,389.7802%
S&P 500 Total Return Index,4/28/99,-0.8648,0.991352,385.5446%
S&P 500 Total Return Index,4/29/99,-0.5803,0.994197,382.7270%
S&P 500 Total Return Index,4/30/99,-0.5689,0.994311,379.9808%
S&P 500 Total Return Index,5/3/99,1.4563,1.014563,386.9707%
S&P 500 Total Return Index,5/4/99,-1.6692,0.983308,378.8422%
S&P 500 Total Return Index,5/5/99,1.1718,1.011718,384.4533%
S&P 500 Total Return Index,5/6/99,-1.1256,0.988744,379.0003%
S&P 500 Total Return Index,5/7/99,0.9723,1.009723,383.6576%
S&P 500 Total Return Index,5/10/99,-0.3215,0.996785,382.1026%
S&P 500 Total Return Index,5/11/99,1.1481,1.011481,387.6376%
S&P 500 Total Return Index,5/12/99,0.6383,1.006383,390.7502%
S&P 500 Total Return Index,5/13/99,0.2632,1.002632,392.0419%
S&P 500 Total Return Index,5/14/99,-2.1726,0.978274,381.3518%
S&P 500 Total Return Index,5/17/99,0.1292,1.001292,381.9737%
S&P 500 Total Return Index,5/18/99,-0.4544,0.995456,379.7836%
S&P 500 Total Return Index,5/19/99,0.8224,1.008224,383.7293%
S&P 500 Total Return Index,5/20/99,-0.3967,0.996033,381.8104%
S&P 500 Total Return Index,5/21/99,-0.6367,0.993633,378.7427%
S&P 500 Total Return Index,5/24/99,-1.7766,0.982234,370.2374%
S&P 500 Total Return Index,5/25/99,-1.7011,0.982989,362.2382%
S&P 500 Total Return Index,5/26/99,1.5994,1.015994,369.6312%
S&P 500 Total Return Index,5/27/99,-1.7763,0.982237,361.2891%
S&P 500 Total Return Index,5/28/99,1.5947,1.015947,368.6453%
S&P 500 Total Return Index,6/1/99,-0.5793,0.994207,365.9304%
S&P 500 Total Return Index,6/2/99,0.0634,1.000634,366.2258%
S&P 500 Total Return Index,6/3/99,0.3663,1.003663,367.9336%
S&P 500 Total Return Index,6/4/99,2.1725,1.021725,378.0995%
S&P 500 Total Return Index,6/7/99,0.5138,1.005138,380.5560%
S&P 500 Total Return Index,6/8/99,-1.2845,0.987155,374.3832%
S&P 500 Total Return Index,6/9/99,0.1067,1.001067,374.8894%
S&P 500 Total Return Index,6/10/99,-1.1988,0.988012,369.1964%
S&P 500 Total Return Index,6/11/99,-0.6825,0.993175,365.9942%
S&P 500 Total Return Index,6/14/99,0.0294,1.000294,366.1312%
S&P 500 Total Return Index,6/15/99,0.5541,1.005541,368.7140%
S&P 500 Total Return Index,6/16/99,2.2515,1.022515,379.2671%
S&P 500 Total Return Index,6/17/99,0.7177,1.007177,382.7068%
S&P 500 Total Return Index,6/18/99,0.22,1.0022,383.7687%
S&P 500 Total Return Index,6/21/99,0.4604,1.004604,385.9960%
S&P 500 Total Return Index,6/22/99,-0.9724,0.990276,381.2702%
S&P 500 Total Return Index,6/23/99,-0.2097,0.997903,380.2610%
S&P 500 Total Return Index,6/24/99,-1.2963,0.987037,374.0353%
S&P 500 Total Return Index,6/25/99,-0.0356,0.999644,373.8666%
S&P 500 Total Return Index,6/28/99,1.2337,1.012337,379.7127%
S&P 500 Total Return Index,6/29/99,1.5109,1.015109,386.9607%
S&P 500 Total Return Index,6/30/99,1.5799,1.015799,394.6541%
S&P 500 Total Return Index,7/1/99,0.6058,1.006058,397.6508%
S&P 500 Total Return Index,7/2/99,0.7431,1.007431,401.3488%
S&P 500 Total Return Index,7/6/99,-0.2119,0.997881,400.2864%
S&P 500 Total Return Index,7/7/99,0.5785,1.005785,403.1806%
S&P 500 Total Return Index,7/8/99,-0.0969,0.999031,402.6930%
S&P 500 Total Return Index,7/9/99,0.6355,1.006355,405.8876%
S&P 500 Total Return Index,7/12/99,-0.2975,0.997025,404.3826%
S&P 500 Total Return Index,7/13/99,-0.3919,0.996081,402.4059%
S&P 500 Total Return Index,7/14/99,0.3331,1.003331,404.0795%
S&P 500 Total Return Index,7/15/99,0.8193,1.008193,408.2094%
S&P 500 Total Return Index,7/16/99,0.6509,1.006509,411.5173%
S&P 500 Total Return Index,7/19/99,-0.7837,0.992163,407.5086%
S&P 500 Total Return Index,7/20/99,-2.1703,0.978297,396.4941%
S&P 500 Total Return Index,7/21/99,0.1646,1.001646,397.3113%
S&P 500 Total Return Index,7/22/99,-1.3265,0.986735,390.7145%
S&P 500 Total Return Index,7/23/99,-0.2965,0.997035,389.2595%
S&P 500 Total Return Index,7/26/99,-0.6766,0.993234,385.9492%
S&P 500 Total Return Index,7/27/99,1.1189,1.011189,391.3865%
S&P 500 Total Return Index,7/28/99,0.1968,1.001968,392.3535%
S&P 500 Total Return Index,7/29/99,-1.7682,0.982318,383.6477%
S&P 500 Total Return Index,7/30/99,-0.9177,0.990823,379.2093%
S&P 500 Total Return Index,8/2/99,-0.0501,0.999499,378.9692%
S&P 500 Total Return Index,8/3/99,-0.4386,0.995614,376.8685%
S&P 500 Total Return Index,8/4/99,-1.2596,0.987404,370.8618%
S&P 500 Total Return Index,8/5/99,0.6493,1.006493,373.9191%
S&P 500 Total Return Index,8/6/99,-1.0038,0.989962,369.1619%
S&P 500 Total Return Index,8/9/99,-0.1899,0.998101,368.2710%
S&P 500 Total Return Index,8/10/99,-1.258,0.98742,362.3801%
S&P 500 Total Return Index,8/11/99,1.6257,1.016257,369.8970%
S&P 500 Total Return Index,8/12/99,-0.2861,0.997139,368.5527%
S&P 500 Total Return Index,8/13/99,2.2782,1.022782,379.2272%
